ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
34367,Nedad Fazlija,M,36,175,67,Bosnia and Herzegovina,BIH,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,40,175,67,Bosnia and Herzegovina,BIH,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",,21.877551020408163
34367,Nedad Fazlija,M,40,175,67,Bosnia and Herzegovina,BIH,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,40,175,67,Bosnia and Herzegovina,BIH,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,44,175,67,Bosnia and Herzegovina,BIH,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Air Rifle, 10 metres",,21.877551020408163
34367,Nedad Fazlija,M,44,175,67,Bosnia and Herzegovina,BIH,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",,21.877551020408163
34367,Nedad Fazlija,M,44,175,67,Bosnia and Herzegovina,BIH,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,21.877551020408163
34493,Ljubomir Fejsa,M,19,187,77,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,,22.019502988361115
34495,Damir Fejzi,M,18,180,68,Serbia,SRB,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,,20.98765432098765
34719,Marua Ferk,F,21,167,63,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Downhill,,22.589551436050055
34719,Marua Ferk,F,21,167,63,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Super G,,22.589551436050055
34719,Marua Ferk,F,21,167,63,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,,22.589551436050055
34719,Marua Ferk,F,21,167,63,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined,,22.589551436050055
34719,Marua Ferk,F,25,167,63,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Downhill,,22.589551436050055
34719,Marua Ferk,F,25,167,63,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Super G,,22.589551436050055
34719,Marua Ferk,F,25,167,63,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.589551436050055
34719,Marua Ferk,F,25,167,63,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,,22.589551436050055
34719,Marua Ferk,F,25,167,63,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,,22.589551436050055
34720,Matea Ferk,F,18,165,62,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.77318640955005
34720,Matea Ferk,F,18,165,62,Croatia,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,,22.77318640955005
34720,Matea Ferk,F,22,165,62,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,22.77318640955005
34720,Matea Ferk,F,22,165,62,Croatia,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,,22.77318640955005
35318,Filip Filipi,M,20,188,86,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,,24.332277048438208
